City,Category,Business name,Owner / contact,Phone,Email,Website,Instagram / Facebook,Google rating,Review count,Biggest gap,Source,Best channel,Status,Last contact,Next action,Address,Maps link
Birmingham,kitchen fitters,The Solihull Kitchen Fitter,,0121 728 2261,,,,,,No website; No reviews,Google Places,,New,,,"57 Vulcan Rd, Solihull B91 2JU, UK",https://maps.google.com/?cid=13833972447912110783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,bathroom fitters,N.M. Kitchen & Bathroom Fitters,,07474 844825,,,,,,No website; No reviews,Google Places,,New,,,"338 Stratford Rd, Shirley, Solihull B90 3DN, UK",https://maps.google.com/?cid=16846827852125649841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,builders,Local Builders Birmingham,,0121 603 1393,,,,,,No website; No reviews,Google Places,,New,,,"Speedwell Rd, Yardley, Birmingham B25, UK",https://maps.google.com/?cid=17082865814028741464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Dillworth Landscapes,,07541 300277,,,,,,No website; No reviews,Google Places,,New,,,"103 Shorters Ave, King's Heath, Birmingham B14 4BA, UK",https://maps.google.com/?cid=15916499393051228692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Sarthi Landscapers & Driveways,,07716 403453,,,,,,No website; No reviews,Google Places,,New,,,"30 Battalion Dr, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B75 7DN, UK",https://maps.google.com/?cid=8143671037582952508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Country Lane Landscapes Ltd,,0121 458 1715,,,,,,No website; No reviews,Google Places,,New,,,"40 Granshaw Cl, Birmingham B38 8RA, UK",https://maps.google.com/?cid=7274325763087932558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,electricians,Birmingham Electrician,,0121 312 2101,,,,,,No website; No reviews,Google Places,,New,,,"9 Redfern Rd, Tyseley, Birmingham B11 2AJ, UK",https://maps.google.com/?cid=8917704793615911067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,personal trainers,JAYWAY FITNESS,,07751 970505,,,,,,No website; No reviews,Google Places,,New,,,"Five ways entertainment, Birmingham B15 1DA, UK",https://maps.google.com/?cid=8573294371099060955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,personal trainers,5ways Fitness & Sports Performance Centre Birmingham,,07399 210326,,,,,,No website; No reviews,Google Places,,New,,,"5ways Transformation Gym, 1 Islington Row Middleway, Birmingham B15 1LA, UK",https://maps.google.com/?cid=4568257326851953875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,personal trainers,The Birmingham Personal Trainer Co,,07885 740727,,,,,,No website; No reviews,Google Places,,New,,,"Pershore St birmingham,, Birmingham B5 6ND, UK",https://maps.google.com/?cid=8510558282991436649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,Cleaning Services Birmingham,,0121 285 8125,,,,,,No website; No reviews,Google Places,,New,,,"44-47 Great Lister St, Birmingham B7 4LW, UK",https://maps.google.com/?cid=2696532823324942451&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,Birmingham Cleaning Services,,0121 285 3873,,,,,,No website; No reviews,Google Places,,New,,,"670 Coventry Rd, Birmingham B10 0UU, UK",https://maps.google.com/?cid=12752396540252102398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,Birmingham Cleaning Services,,0121 285 7386,,,,,,No website; No reviews,Google Places,,New,,,"139 Wharfdale Rd, Tyseley, Birmingham B11 2EG, UK",https://maps.google.com/?cid=14241199821154148492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,Dacunha Cleaning Services,,07515 942557,,,,,,No website; No reviews,Google Places,,New,,,"SUITE 2A, Blackthorn House, St Paul's Square, Birmingham B3 1RL, UK",https://maps.google.com/?cid=4658547716080790927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,The Cleaning Buzz,,0121 798 0457,,,,,,No website; No reviews,Google Places,,New,,,"International House 46, The Priory, Birmingham B4 7LR, UK",https://maps.google.com/?cid=4611343683197089858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,builders,The Best Builders Bristol,,0117 290 0308,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"265, 179 Whiteladies Rd, Clifton, Bristol BS8 2AG, UK",https://maps.google.com/?cid=2250856857030243581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,roofers,House Roofing,,0117 325 3002,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"7 Unity St, Bristol BS1 5HH, UK",https://maps.google.com/?cid=16924855999124909508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,roofers,Fibreglass Roofing Bristol,,0117 239 5006,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"4 Ingleside Rd, Bristol BS15 1HQ, UK",https://maps.google.com/?cid=14665492502291822614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,landscapers,Gardens & Stuff,,07903 433380,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Bristol BS2 0HQ, UK",https://maps.google.com/?cid=1297127414085045054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,landscapers,Eagle Landscaping,,07786 816988,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"2 Avon St, Bristol BS2 0GR, UK",https://maps.google.com/?cid=11666540925590431613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,personal trainers,Shannon O'Neil Personal Training,,07402 410694,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Luxe Fitness Club, Bedminster, Bristol BS3 4AQ, UK",https://maps.google.com/?cid=4571396535287826321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,opticians,BROCK,,0117 977 7191,,,,4,1,No website; Only 1 reviews,Google Places,,New,,,"32 Eagle Rd, Brislington, Bristol BS4 3LJ, UK",https://maps.google.com/?cid=2774306217467072396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Andrew’s Motoring School,,01275 543939,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"11 Little Birch Croft, Bristol BS14 0JB, UK",https://maps.google.com/?cid=8943976198995405535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Tjdrivingschoolbristol.co.uk,,07825 538418,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"14, Bristol BS16 1HQ, UK",https://maps.google.com/?cid=4483016830356128826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Around the Bend Driving School Bristol,,0800 316 3633,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"9 Newnham Cl, Stockwood, Bristol BS14 8AQ, UK",https://maps.google.com/?cid=8885585786764946719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,cleaning companies,Eco Cleaner Bristol,,07429 885330,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Pritchard St, St Paul's, Bristol BS2 8RJ, UK",https://maps.google.com/?cid=5820213741951938741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,builders,HLC Builders,,07956 120434,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Upper Highgate St, Birmingham B12 0XZ, UK",https://maps.google.com/?cid=9024067892398712788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,roofers,Crown Roofing & Guttering Ltd,,07414 267383,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"46 Heneage St, Birmingham B7 4NF, UK",https://maps.google.com/?cid=17214638342224147479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Birmingham Landscaping,,0121 400 0251,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"4 Fore St, Birmingham B2 4LS, UK",https://maps.google.com/?cid=13761438192105241611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Khan landscaper,,07417 417841,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Phillimore Road, Saltley, Birmingham B8 1PT, UK",https://maps.google.com/?cid=5983939937228376331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Lees Landscapes and Property Maintenance,,07967 114680,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"160 Jiggins Ln, Birmingham B32 3EN, UK",https://maps.google.com/?cid=3174834337037795829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,electricians,W C T Electrical,,0121 582 2345,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"AVEBURY HOUSE, 55 Newhall St, Birmingham B3 3RB, UK",https://maps.google.com/?cid=14077626951511604229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,electricians,A A A Electrical Services,,07360 496614,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"60 Graham St, Birmingham B1 3JR, UK",https://maps.google.com/?cid=1187507478248707995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,plumbers,B2 Plumbing & Heating,,07451 284602,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"51 Pinfold St, Birmingham B2 4AY, UK",https://maps.google.com/?cid=15328089094637536243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,driveway and paving,All Driveways Birmingham,,0121 285 3533,,,,1,1,No website; Only 1 reviews,Google Places,,New,,,"b, 28 Morcom Rd, Tyseley, Birmingham B11 2JE, UK",https://maps.google.com/?cid=14585730080082981500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,personal trainers,Taiya.Fitness- Personal Training,,07874 825497,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Allesley St, Birmingham B6 4NF, UK",https://maps.google.com/?cid=13483189721280867175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,personal trainers,Atlas personal training,,07984 608085,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"100 Holloway Head, Birmingham B1 1NB, UK",https://maps.google.com/?cid=13330456326705547554&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,mortgage brokers,Mortgage Broker in Birmingham,,0121 248 8005,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"222 Cherrywood Rd, Birmingham B9 4UR, UK",https://maps.google.com/?cid=14906459775239191164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,cleaning companies,MCS Cleaning Services - Coventry,,024 7695 0193,,,,5,1,No website; Only 1 reviews,Google Places,,New,,,"Flat 18, Edmonton House, Benmore Ave, Birmingham B5 7XW, UK",https://maps.google.com/?cid=15074977137917775535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,builders,Roman Builders Bristol,,0117 256 5995,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"265, 179 Whiteladies Rd, Redland, Bristol BS8 2AG, UK",https://maps.google.com/?cid=18321550927571680142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,roofers,Roof Shield,,07385 643093,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"19-20 St Augustine's Parade, Bristol BS1 4UR, UK",https://maps.google.com/?cid=1109833318886443034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,landscapers,Love Green Garden maintenance,,07587 327689,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"80 Victoria St, Redcliffe, Bristol BS1 6DR, UK",https://maps.google.com/?cid=11509541268441006168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,electricians,Fuseland Electrical Services Ltd,,0117 935 4435,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"Dragon Court, Crofts End Rd, Bristol BS5 7XX, UK",https://maps.google.com/?cid=8643163618470834600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,plumbers,Plumber in Bristol - SK Plumbing Services & Solutions,,07464 500668,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"85 St Marks Rd, Easton, Bristol BS5 6HX, UK",https://maps.google.com/?cid=7353111380233415123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,plumbers,Home Heating - Emergency Plumber - Bristol,,0117 254 1032,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"7 Regent St, Bristol BS15 8JX, UK",https://maps.google.com/?cid=16093404047102272956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,builders,JK Builder,,07944 416339,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"208 Alum Rock Rd, Alum Rock, Birmingham B8 3DH, UK",https://maps.google.com/?cid=12516862588753984764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,roofers,Birmingham Roofing,,0121 726 6277,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"39 Melton Rd, King's Heath, Birmingham B14 7ET, UK",https://maps.google.com/?cid=1246348345090547131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,roofers,Malcolm Woodward Roofing Services,,0121 459 9772,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"453 Rednal Rd, Birmingham B38 8HP, UK",https://maps.google.com/?cid=10753006723786883123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,roofers,Brandes Roofing - Roofers in Birmingham,,0121 478 1024,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"Great Stone Rd, Northfield, Birmingham B31 2LR, UK",https://maps.google.com/?cid=9301802549145854427&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Rio Landscapes,,0121 308 7366,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"104 Mere Green Rd, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B75 5DA, UK",https://maps.google.com/?cid=8016717423474854180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,electricians,S A Electrical,,07360 496614,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"24 Ladywell Walk, Birmingham B1 1RD, UK",https://maps.google.com/?cid=4343645881315523269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,plumbers,Wtc Heating & Plumbing Ltd,,0808 135 0953,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"34 Brixham Rd, Birmingham B16 0JY, UK",https://maps.google.com/?cid=234571954039334029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,driveway and paving,Harbourn Driveways,,0121 426 3360,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"91 Quinton Ln, Quinton, Birmingham B32 2TT, UK",https://maps.google.com/?cid=2243853299984237565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,accountants,Yasin & Co Accountants,,0121 507 0800,,,,5,2,No website; Only 2 reviews,Google Places,,New,,,"72 Vyse St, Birmingham B18 6EX, UK",https://maps.google.com/?cid=15602969099264850651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,bathroom fitters,FSW Bristol,,07763 511966,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"68 Rodway Rd, Patchway, Bristol BS34 5PQ, UK",https://maps.google.com/?cid=4767794573574543807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,builders,Attewell-Smith Builders,,07807 254528,,,,4.7,3,No website; Only 3 reviews,Google Places,,New,,,"29 Bourneville Rd, Bristol BS5 9AL, UK",https://maps.google.com/?cid=3540652079221641631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,electricians,Ryan Electrical Services Bristol,,07883 291864,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"3 Charlecombe Ct, Bristol BS9 3RL, UK",https://maps.google.com/?cid=3119170068384763369&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,cleaning companies,Betterway Cleaning Services,,07780 883323,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"33 Hartcliffe Rd, Bristol BS4 1HB, UK",https://maps.google.com/?cid=5571716998750496218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,landscapers,Valeigh Landscapes,,0800 448 8695,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"42 Sommerfield Rd, Birmingham B32 3RH, UK",https://maps.google.com/?cid=16265492407123438290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,driveway and paving,Rostam Driveways Ltd,,0121 514 2101,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"Suite 2A Blackthorne House, St Paul's Square, Birmingham B3 1RL, UK",https://maps.google.com/?cid=6182068414471530197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,gyms,The Fitness Room,,07861 384227,,,,5,3,No website; Only 3 reviews,Google Places,,New,,,"32 Cliveland St, Birmingham B19 3SH, UK",https://maps.google.com/?cid=3068348717574535884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,roofers,S G Empire Roofing,,07856 997007,,,,3.8,4,No website; Only 4 reviews,Google Places,,New,,,"unit 26, 58 North St, Southville, Bristol BS3 1HJ, UK",https://maps.google.com/?cid=14110028614618766976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driveway and paving,Class A Paving Ltd,,0117 987 5468,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"178/180 Lawrence Hill, Bristol BS5 0DN, UK",https://maps.google.com/?cid=11230459408167385191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,accountants,Aero Accountancy Services,,07900 553792,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"6 Norton Rd, Knowle, Bristol BS4 2HA, UK",https://maps.google.com/?cid=523469084483082152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,solicitors,Legally Secure Wills and Trusts Limited,,0117 322 6322,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"111a High St, Hanham, Bristol BS15 3QG, UK",https://maps.google.com/?cid=13274578478023897614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Jacqui's Driving School,,07725 341961,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"Crispin Way, Bristol BS15 4SQ, UK",https://maps.google.com/?cid=16752514331333152473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,cleaning companies,Naems Cleaning Services LTD,,07532 758501,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"37, Wilder St, St Paul's, Bristol BS2 8QD, UK",https://maps.google.com/?cid=15972291544403491577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,bathroom fitters,A1 Fitters,,07950 809873,,,,4,4,No website; Only 4 reviews,Google Places,,New,,,"15 Bankes Rd, Birmingham B10 9PP, UK",https://maps.google.com/?cid=5330836593124103398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,builders,RIFAT MURATI BUILDERS LTD,,07404 432147,,,,5,4,No website; Only 4 reviews,Google Places,,New,,,"42 Chapel St, Handsworth, Birmingham B21 0PA, UK",https://maps.google.com/?cid=12828100090768049919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
